depth_tmd,depth_tvd,rpm,wob,flow_in,rop,formation,Mohes Index,formationId
12,12.0,68,1,789,0.4,TURONIEN,3.5,12
13,13.0,68,1,846,2.5,TURONIEN,3.5,12
14,14.0,69,1,969,0.5,TURONIEN,3.5,12
15,15.0,72,1,685,1.4,TURONIEN,3.5,12
16,16.0,68,1,486,7.8,TURONIEN,3.5,12
17,17.0,80,1,499,1.6,TURONIEN,3.5,12
18,18.0,80,2,504,3.8,TURONIEN,3.5,12
19,19.0,79,2,502,8.3,TURONIEN,3.5,12
20,20.0,81,2,502,6.9,TURONIEN,3.5,12
21,21.0,81,2,502,7.1,TURONIEN,3.5,12
22,22.0,79,3,497,6.6,TURONIEN,3.5,12
23,23.0,78,3,487,6.6,TURONIEN,3.5,12
24,24.0,76,2,505,20.5,TURONIEN,3.5,12
25,25.0,81,1,517,11.5,TURONIEN,3.5,12
26,26.0,80,1,513,1.9,TURONIEN,3.5,12
27,27.0,87,4,547,0.4,TURONIEN,3.5,12
28,28.0,89,4,976,0.6,TURONIEN,3.5,12
29,29.0,94,4,1009,0.9,TURONIEN,3.5,12
30,30.0,92,3,1196,2.6,TURONIEN,3.5,12
31,31.0,106,1,1230,6.8,TURONIEN,3.5,12
32,32.0,106,1,1236,11.5,TURONIEN,3.5,12
33,33.0,101,1,1231,7.1,TURONIEN,3.5,12
34,34.0,81,3,1193,9.0,TURONIEN,3.5,12
35,35.0,83,0,1293,6.6,TURONIEN,3.5,12
36,36.0,87,1,1386,10.9,TURONIEN,3.5,12
37,37.0,87,2,1383,11.6,TURONIEN,3.5,12
38,38.0,88,2,1381,7.3,TURONIEN,3.5,12
39,39.0,87,3,1379,9.9,TURONIEN,3.5,12
40,40.0,86,3,1382,9.0,TURONIEN,3.5,12
41,41.0,83,4,1385,10.2,TURONIEN,3.5,12
42,42.0,84,4,1386,8.8,TURONIEN,3.5,12
43,43.0,85,3,1390,10.6,TURONIEN,3.5,12
44,44.0,86,3,1390,14.1,TURONIEN,3.5,12
45,45.0,77,3,1391,10.1,TURONIEN,3.5,12
46,46.0,75,2,1394,8.4,TURONIEN,3.5,12
47,47.0,78,2,1396,11.8,TURONIEN,3.5,12
48,48.0,79,1,1397,27.1,TURONIEN,3.5,12
49,49.0,80,1,1397,15.8,TURONIEN,3.5,12
50,50.0,79,1,1396,27.7,TURONIEN,3.5,12
51,51.0,80,1,1395,32.5,TURONIEN,3.5,12
52,52.0,74,3,1395,15.9,TURONIEN,3.5,12
53,53.0,78,2,1396,30.6,TURONIEN,3.5,12
54,54.0,79,1,1398,24.6,TURONIEN,3.5,12
55,55.0,80,1,1401,12.1,TURONIEN,3.5,12
56,56.0,73,2,1501,12.9,TURONIEN,3.5,12
57,57.0,77,3,1595,13.4,TURONIEN,3.5,12
58,58.0,80,2,1596,9.0,TURONIEN,3.5,12
59,59.0,77,3,1597,14.7,TURONIEN,3.5,12
60,60.0,80,2,1598,7.6,TURONIEN,3.5,12
61,61.0,80,2,1596,11.6,TURONIEN,3.5,12
62,62.0,80,2,1597,10.1,TURONIEN,3.5,12
63,63.0,79,3,1598,13.3,TURONIEN,3.5,12
64,64.0,81,2,1599,8.2,TURONIEN,3.5,12
65,65.0,78,2,1634,10.7,TURONIEN,3.5,12
66,66.0,81,4,1792,22.6,TURONIEN,3.5,12
67,67.0,86,2,1796,9.6,TURONIEN,3.5,12
68,68.0,85,3,1804,10.6,TURONIEN,3.5,12
69,69.0,86,2,1804,7.7,TURONIEN,3.5,12
70,70.0,87,3,1806,7.1,TURONIEN,3.5,12
71,71.0,85,3,1806,7.0,TURONIEN,3.5,12
72,72.0,83,4,1805,10.3,TURONIEN,3.5,12
73,73.0,81,2,1801,5.3,TURONIEN,3.5,12
74,74.0,85,1,1800,6.5,TURONIEN,3.5,12
75,75.0,97,3,1815,7.1,TURONIEN,3.5,12
76,76.0,97,3,1814,9.3,TURONIEN,3.5,12
77,77.0,99,3,1815,9.0,TURONIEN,3.5,12
78,78.0,98,3,1812,7.4,TURONIEN,3.5,12
79,79.0,97,3,1812,14.7,TURONIEN,3.5,12
80,80.0,97,3,1815,23.0,Argiles & Gypese,1.75,0
81,81.0,92,2,1872,6.3,Argiles & Gypese,1.75,0
82,82.0,89,2,1996,11.7,Argiles & Gypese,1.75,0
83,83.0,87,2,1838,4.5,Argiles & Gypese,1.75,0
84,84.0,89,1,2227,6.3,Argiles & Gypese,1.75,0
85,85.0,86,1,2395,3.8,Argiles & Gypese,1.75,0
86,86.0,84,2,2395,5.5,Argiles & Gypese,1.75,0
87,87.0,86,2,2395,5.4,Argiles & Gypese,1.75,0
88,88.0,87,3,2397,4.1,Argiles & Gypese,1.75,0
89,89.0,89,1,2395,6.1,Argiles & Gypese,1.75,0
90,90.0,87,1,2394,6.2,Argiles & Gypese,1.75,0
91,91.0,89,1,2392,2.3,Argiles & Gypese,1.75,0
92,92.0,83,1,2393,5.6,Argiles & Gypese,1.75,0
93,93.0,85,2,2393,6.6,Argiles & Gypese,1.75,0
94,94.0,84,2,2393,7.0,Argiles & Gypese,1.75,0
95,95.0,90,3,2393,6.3,Argiles & Gypese,1.75,0
