"Depth: TMD [m]","Depth: TVD [m]","RPM  [rpm]","WOB  [t]","Flow IN  [l/min]","ROP  [m/h]","Formation","Hardness index 100","Mohes Index"
"12","12","68","1","789","0.4","TURONIEN","45","3 - 4"
"13","13","68","1","846","2.5","TURONIEN","45","3 - 4"
"14","14","69","1","969","0.5","TURONIEN","45","3 - 4"
"15","15","72","1","685","1.4","TURONIEN","45","3 - 4"
"16","16","68","1","486","7.8","TURONIEN","45","3 - 4"
"17","17","80","1","499","1.6","TURONIEN","45","3 - 4"
"18","18","80","2","504","3.8","TURONIEN","45","3 - 4"
"19","19","79","2","502","8.3","TURONIEN","45","3 - 4"
"20","20","81","2","502","6.9","TURONIEN","45","3 - 4"
"21","21","81","2","502","7.1","TURONIEN","45","3 - 4"
"22","22","79","3","497","6.6","TURONIEN","45","3 - 4"
"23","23","78","3","487","6.6","TURONIEN","45","3 - 4"
"24","24","76","2","505","20.5","TURONIEN","45","3 - 4"
"25","25","81","1","517","11.5","TURONIEN","45","3 - 4"
"26","26","80","1","513","1.9","TURONIEN","45","3 - 4"
"27","27","87","4","547","0.4","TURONIEN","45","3 - 4"
"28","28","89","4","976","0.6","TURONIEN","45","3 - 4"
"29","29","94","4","1009","0.9","TURONIEN","45","3 - 4"
"30","30","92","3","1196","2.6","TURONIEN","45","3 - 4"
"31","31","106","1","1230","6.8","TURONIEN","45","3 - 4"
"32","32","106","1","1236","11.5","TURONIEN","45","3 - 4"
"33","33","101","1","1231","7.1","TURONIEN","45","3 - 4"
"34","34","81","3","1193","9","TURONIEN","45","3 - 4"
"35","35","83","0","1293","6.6","TURONIEN","45","3 - 4"
"36","36","87","1","1386","10.9","TURONIEN","45","3 - 4"
"37","37","87","2","1383","11.6","TURONIEN","45","3 - 4"
"38","38","88","2","1381","7.3","TURONIEN","45","3 - 4"
"39","39","87","3","1379","9.9","TURONIEN","45","3 - 4"
"40","40","86","3","1382","9","TURONIEN","45","3 - 4"
"41","41","83","4","1385","10.2","TURONIEN","45","3 - 4"
"42","42","84","4","1386","8.8","TURONIEN","45","3 - 4"
"43","43","85","3","1390","10.6","TURONIEN","45","3 - 4"
"44","44","86","3","1390","14.1","TURONIEN","45","3 - 4"
"45","45","77","3","1391","10.1","TURONIEN","45","3 - 4"
"46","46","75","2","1394","8.4","TURONIEN","45","3 - 4"
"47","47","78","2","1396","11.8","TURONIEN","45","3 - 4"
"48","48","79","1","1397","27.1","TURONIEN","45","3 - 4"
"49","49","80","1","1397","15.8","TURONIEN","45","3 - 4"
"50","50","79","1","1396","27.7","TURONIEN","45","3 - 4"
"51","51","80","1","1395","32.5","TURONIEN","45","3 - 4"
"52","52","74","3","1395","15.9","TURONIEN","45","3 - 4"
"53","53","78","2","1396","30.6","TURONIEN","45","3 - 4"
"54","54","79","1","1398","24.6","TURONIEN","45","3 - 4"
"55","55","80","1","1401","12.1","TURONIEN","45","3 - 4"
"56","56","73","2","1501","12.9","TURONIEN","45","3 - 4"
"57","57","77","3","1595","13.4","TURONIEN","45","3 - 4"
"58","58","80","2","1596","9","TURONIEN","45","3 - 4"
"59","59","77","3","1597","14.7","TURONIEN","45","3 - 4"
"60","60","80","2","1598","7.6","TURONIEN","45","3 - 4"
"61","61","80","2","1596","11.6","TURONIEN","45","3 - 4"
"62","62","80","2","1597","10.1","TURONIEN","45","3 - 4"
"63","63","79","3","1598","13.3","TURONIEN","45","3 - 4"
"64","64","81","2","1599","8.2","TURONIEN","45","3 - 4"
"65","65","78","2","1634","10.7","TURONIEN","45","3 - 4"
"66","66","81","4","1792","22.6","TURONIEN","45","3 - 4"
"67","67","86","2","1796","9.6","TURONIEN","45","3 - 4"
"68","68","85","3","1804","10.6","TURONIEN","45","3 - 4"
"69","69","86","2","1804","7.7","TURONIEN","45","3 - 4"
"70","70","87","3","1806","7.1","TURONIEN","45","3 - 4"
"71","71","85","3","1806","7","TURONIEN","45","3 - 4"
"72","72","83","4","1805","10.3","TURONIEN","45","3 - 4"
"73","73","81","2","1801","5.3","TURONIEN","45","3 - 4"
"74","74","85","1","1800","6.5","TURONIEN","45","3 - 4"
"75","75","97","3","1815","7.1","TURONIEN","45","3 - 4"
"76","76","97","3","1814","9.3","TURONIEN","45","3 - 4"
"77","77","99","3","1815","9","TURONIEN","45","3 - 4"
"78","78","98","3","1812","7.4","TURONIEN","45","3 - 4"
"79","79","97","3","1812","14.7","TURONIEN","45","3 - 4"
"80","80","97","3","1815","23","Argiles & Gypese","20","1,5 - 2"
"81","81","92","2","1872","6.3","Argiles & Gypese","20","1,5 - 2"
"82","82","89","2","1996","11.7","Argiles & Gypese","20","1,5 - 2"
"83","83","87","2","1838","4.5","Argiles & Gypese","20","1,5 - 2"
"84","84","89","1","2227","6.3","Argiles & Gypese","20","1,5 - 2"
"85","85","86","1","2395","3.8","Argiles & Gypese","20","1,5 - 2"
"86","86","84","2","2395","5.5","Argiles & Gypese","20","1,5 - 2"
"87","87","86","2","2395","5.4","Argiles & Gypese","20","1,5 - 2"
"88","88","87","3","2397","4.1","Argiles & Gypese","20","1,5 - 2"
"89","89","89","1","2395","6.1","Argiles & Gypese","20","1,5 - 2"
"90","90","87","1","2394","6.2","Argiles & Gypese","20","1,5 - 2"
"91","91","89","1","2392","2.3","Argiles & Gypese","20","1,5 - 2"
"92","92","83","1","2393","5.6","Argiles & Gypese","20","1,5 - 2"
"93","93","85","2","2393","6.6","Argiles & Gypese","20","1,5 - 2"
"94","94","84","2","2393","7","Argiles & Gypese","20","1,5 - 2"
"95","95","90","3","2393","6.3","Argiles & Gypese","20","1,5 - 2"
"96","96","90","3","2392","8.2","Argiles & Gypese","20","1,5 - 2"
"97","97","92","2","2395","6.9","Argiles & Gypese","20","1,5 - 2"
"98","98","93","2","2389","7.9","Argiles & Gypese","20","1,5 - 2"
"99","99","93","2","2386","9.8","Argiles & Gypese","20","1,5 - 2"
"100","100","94","1","2388","7.8","Argiles & Gypese","20","1,5 - 2"
"101","101","93","1","2379","4.3","Argiles & Gypese","20","1,5 - 2"
"102","102","80","2","2356","3.5","Argiles & Gypese","20","1,5 - 2"
"103","103","75","3","2364","17.5","Argiles & Gypese","20","1,5 - 2"
